Year,RVI_mean,RVI_std,NDVI_mean,   NDVI_std
2000,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2001,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2002,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2003,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2004,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2005,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2006,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2007,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2008,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2009,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2010,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2011,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2012,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2013,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2014,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2015,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2016,0.8285818065702171,0.014191454414938236,0.6884930286652327,0.04125334374262735
2017,0.8363129391225065,0.014191454414938236,0.6426373907962191,0.04125334374262735
2018,0.830238477831422,0.014191454414938236,0.671670250275417,0.04125334374262735
2019,0.8125673177119035,0.014191454414938236,0.6564754826975191,0.04125334374262735
2020,0.8075973039282889,0.014191454414938236,0.6524054556677249,0.04125334374262735
2021,0.8092539751894938,0.014191454414938236,0.6646155367571073,0.04125334374262735
2022,0.8153284364805782,0.014191454414938236,0.6670575529749837,0.04125334374262735
2023,0.8142239889731083,0.014191454414938236,0.6635301962158289,0.04125334374262735
2024,0.8109106464506987,0.014191454414938236,0.664072866486468,0.04125334374262735
2025,0.8169851077417831,0.014191454414938236,0.6700422394634994,0.04125334374262735
2026,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2027,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2028,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2029,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2030,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2031,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2032,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2033,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2034,0.8182,0.017022338335639747,0.6641,0.0428612878715472
2035,0.8182,0.017022338335639747,0.6641,0.0428612878715472
